District,freq
Lubumbashi,96
Kimbanseke,55
Djugu,45
Mutshatsha,40
Lubudi,37
Masina,36
Kisangani,34
limete,33
Maluku,28
Pweto,26
Ngaliema,25
Nsele,24
Tshopo,24
Kampemba,21
Sakania,21
Irumu,20
Katuba,17
Matete,17
Ndjili,17
Kalamu,16
Lemba,15
Kikula,14
Mont-Ngafula,13
Bandalungwa,12
Binza-Ozone,12
Bukama,11
Kamina,11
Kenya,11
Kisenso,11
Ngaba,11
Barumbu,10
Gombe,10
Kabongo,10
Kambove,10
Kasa-Vubu,10
Kipushi,10
Likasi,10
Lingwala,10
Malemba-Nkulu,9
Panda,9
Annexe,8
Kasenga,7
Kintambo,7
Bumbu,6
Dilala,6
Kalemie,6
Kongolo,6
Makala,6
Manono,6
Moba,6
Mont-Ngafula 2,6
Nyunzu,6
Kinshasa,5
Makiso,5
Manika,5
Moanda,5
Mont-Ngafula 1,5
Ngiri-Ngiri,5
Selembao,5
Binza-Meteo,4
Lukula,4
Kabondo,3
Nzadi,3
Matadi,2
Nzanza,2
Kikimi,1
Kingasani,1
Military_DRC,1
